comparacoes, movimentacoes
127427, 34385
123182, 34280
121899, 34449
127767, 34454
126944, 34297
143797, 33867
117185, 34790
119294, 34735
123259, 34614
140307, 33738
116246, 34571
117611, 34528
124232, 34489
124444, 34510
121079, 34388
124903, 34579
129076, 34410
116624, 34657
117564, 34712
117122, 34619
114036, 34694
125505, 34240
119633, 34473
131478, 34186
125256, 34467
127862, 34376
121579, 34499
125326, 34303
130349, 34243
123526, 34403
