comparacoes, movimentacoes
5912, 2746
6078, 2736
5860, 2728
6061, 2732
5989, 2708
5922, 2771
6145, 2720
6137, 2752
6009, 2744
6174, 2699
5768, 2768
6044, 2723
5984, 2747
6125, 2701
6233, 2742
5881, 2728
5539, 2770
6820, 2674
6412, 2687
6695, 2679
6967, 2722
6902, 2707
6224, 2760
6058, 2704
6494, 2720
5844, 2740
7132, 2653
5485, 2773
6689, 2717
6378, 2661
