comparacoes, movimentacoes
87622, 35129
89661, 34918
90759, 34837
89573, 35045
91343, 34737
93483, 34776
90092, 34876
84197, 35216
83227, 35236
99426, 34865
89585, 34909
86392, 35099
91630, 35091
88732, 34901
86083, 35037
88949, 34844
87996, 34919
93455, 35095
90323, 34989
84315, 35336
89436, 34915
88587, 34816
81008, 35518
88277, 35028
94211, 34774
92454, 35057
87058, 34793
93284, 34586
87525, 34958
84775, 35074
