comparacoes, movimentacoes
621, 184
546, 198
458, 197
471, 197
483, 187
622, 181
475, 193
359, 205
420, 198
496, 193
544, 191
398, 195
716, 184
499, 194
462, 194
451, 186
527, 186
504, 190
449, 200
562, 180
520, 191
466, 187
538, 196
457, 194
430, 199
395, 199
424, 199
525, 186
392, 200
450, 200
