comparacoes, movimentacoes
639, 66
658, 67
630, 64
641, 70
600, 68
583, 66
677, 68
578, 70
563, 66
597, 71
664, 70
709, 69
707, 70
611, 70
650, 68
694, 67
612, 67
616, 68
568, 65
661, 66
745, 67
720, 68
700, 65
648, 70
687, 72
675, 67
747, 69
660, 67
626, 64
665, 71
