comparacoes, movimentacoes
6535, 2714
7409, 2674
8596, 2684
7248, 2701
7512, 2726
6954, 2727
6715, 2713
9037, 2632
6791, 2730
7760, 2717
7641, 2717
7841, 2671
8328, 2615
6748, 2730
6664, 2714
7450, 2694
7770, 2681
7221, 2688
7671, 2729
6690, 2732
6736, 2736
8176, 2728
6825, 2693
8039, 2680
9237, 2632
6804, 2739
7883, 2686
6609, 2726
8741, 2668
8932, 2696
